backend,n_atoms,cutoff,threads,build_s_median,build_s_min,peak_mb
ase-ckdtree,4000,5.0,1,0.149659208,0.148597833,175.047
ase-ckdtree-vec,4000,5.0,1,0.0415025,0.041026416,149.109
matscipy,4000,5.0,1,0.014051834,0.0140119999,108.406
vesin,4000,5.0,1,0.00967908301,0.00951304194,117.875
ase-ckdtree,32000,5.0,1,1.22075046,1.20245496,857.516
ase-ckdtree-vec,32000,5.0,1,0.346442084,0.345964083,639.734
matscipy,32000,5.0,1,0.120763041,0.118538708,361.438
vesin,32000,5.0,1,0.0991640841,0.0986034999,408.766
ase-ckdtree,108000,5.0,1,4.20195042,4.14060075,2061.203
ase-ckdtree-vec,108000,5.0,1,1.1951775,1.18892296,2124.953
matscipy,108000,5.0,1,0.407763417,0.406223375,1167.203
vesin,108000,5.0,1,0.347941417,0.346867875,1198.609
