backend,n_atoms,cutoff,threads,build_s_median,build_s_min,peak_mb
ase,4000,5.0,1,0.395935487,0.369179397,2245.906
matscipy,4000,5.0,1,0.0458250369,0.0439726959,2245.906
matscipy-neighbours,4000,5.0,1,0.026961298,0.0254872791,2245.906
vesin,4000,5.0,1,0.0415608459,0.040174973,2245.906
matscipy-neighbours-gpu,4000,5.0,1,0.00871886103,0.00775607303,2245.906
matscipy-neighbours-device,4000,5.0,1,0.00904649496,0.00810707593,2245.906
alchemi-gpu,4000,5.0,1,0.1002264,0.098873745,2245.906
vesin-gpu,4000,5.0,1,0.0126881259,0.010956391,2245.906
ase,32000,5.0,1,4.21141906,4.19559444,2245.906
matscipy,32000,5.0,1,0.371080265,0.37004069,2245.906
matscipy-neighbours,32000,5.0,1,0.221896985,0.220531667,2245.906
vesin,32000,5.0,1,0.395720549,0.393892552,2245.906
matscipy-neighbours-gpu,32000,5.0,1,0.0552017309,0.0542928071,2245.906
matscipy-neighbours-device,32000,5.0,1,0.0547060971,0.0541720041,2245.906
alchemi-gpu,32000,5.0,1,0.206550627,0.204557672,2245.906
vesin-gpu,32000,5.0,1,0.0812523831,0.0805777118,2245.906
ase,108000,5.0,1,14.9102798,14.8834441,5545.469
matscipy,108000,5.0,1,1.19992096,1.18486242,2245.906
matscipy-neighbours,108000,5.0,1,0.731780482,0.72752759,2245.906
vesin,108000,5.0,1,1.35206348,1.3462596,2245.906
matscipy-neighbours-gpu,108000,5.0,1,0.186334975,0.185817649,2245.906
matscipy-neighbours-device,108000,5.0,1,0.185685739,0.185181386,2245.906
alchemi-gpu,108000,5.0,1,0.618173187,0.608913489,2245.906
vesin-gpu,108000,5.0,1,0.261350106,0.260276763,2245.906
ase,32000,3.0,1,0.981221186,0.976973926,2245.906
matscipy,32000,3.0,1,0.085367579,0.0847810921,2245.906
matscipy-neighbours,32000,3.0,1,0.058094928,0.057500849,2245.906
vesin,32000,3.0,1,0.082796522,0.081149461,2245.906
matscipy-neighbours-gpu,32000,3.0,1,0.013528364,0.0130432041,2245.906
matscipy-neighbours-device,32000,3.0,1,0.0141650359,0.013478958,2245.906
alchemi-gpu,32000,3.0,1,0.112637515,0.111910249,2245.906
vesin-gpu,32000,3.0,1,0.021919329,0.0217612081,2245.906
ase,32000,4.0,1,2.6181362,2.61395085,2245.906
matscipy,32000,4.0,1,0.185060273,0.183594507,2245.906
matscipy-neighbours,32000,4.0,1,0.0981733489,0.0979094079,2245.906
vesin,32000,4.0,1,0.152622974,0.151474194,2245.906
matscipy-neighbours-gpu,32000,4.0,1,0.020102998,0.0199353821,2245.906
matscipy-neighbours-device,32000,4.0,1,0.0209248741,0.020833306,2245.906
alchemi-gpu,32000,4.0,1,0.136456494,0.130859055,2245.906
vesin-gpu,32000,4.0,1,0.031463708,0.0309554769,2245.906
ase,32000,5.0,1,4.15697236,4.15068118,2245.906
matscipy,32000,5.0,1,0.367235339,0.366620548,2245.906
matscipy-neighbours,32000,5.0,1,0.220501525,0.219069045,2245.906
vesin,32000,5.0,1,0.387568266,0.385981561,2245.906
matscipy-neighbours-gpu,32000,5.0,1,0.0537976611,0.053101944,2245.906
matscipy-neighbours-device,32000,5.0,1,0.054159197,0.0537599949,2245.906
alchemi-gpu,32000,5.0,1,0.204767883,0.203217572,2245.906
vesin-gpu,32000,5.0,1,0.0804996749,0.080212699,2245.906
ase,32000,6.0,1,8.65997725,8.64831809,3436.324
matscipy,32000,6.0,1,0.718998625,0.717944632,2245.906
matscipy-neighbours,32000,6.0,1,0.344335893,0.342909597,2245.906
vesin,32000,6.0,1,0.612206077,0.606741285,2245.906
matscipy-neighbours-gpu,32000,6.0,1,0.078994567,0.077202356,2245.906
matscipy-neighbours-device,32000,6.0,1,0.08074152,0.0794505319,2245.906
alchemi-gpu,32000,6.0,1,0.320013504,0.317660762,2245.906
vesin-gpu,32000,6.0,1,0.116230742,0.115492731,2245.906
ase,32000,7.0,1,12.5995392,12.5920889,4664.637
matscipy,32000,7.0,1,1.00516262,0.999472367,2245.906
matscipy-neighbours,32000,7.0,1,0.526628666,0.523793891,2245.906
vesin,32000,7.0,1,0.961610711,0.956783049,2245.906
matscipy-neighbours-gpu,32000,7.0,1,0.139188834,0.138147636,2245.906
matscipy-neighbours-device,32000,7.0,1,0.139278429,0.138099144,2245.906
alchemi-gpu,32000,7.0,1,0.480930306,0.475951048,2245.906
vesin-gpu,32000,7.0,1,0.194376909,0.193637345,2245.906
ase,32000,8.0,1,27.8330977,27.7546468,8643.145
matscipy,32000,8.0,1,1.7441819,1.72622477,2245.906
matscipy-neighbours,32000,8.0,1,0.839207711,0.835854198,2245.906
vesin,32000,8.0,1,1.48792322,1.48595137,2245.906
matscipy-neighbours-gpu,32000,8.0,1,0.210493919,0.208314805,2245.906
matscipy-neighbours-device,32000,8.0,1,0.210271287,0.209428325,2245.906
alchemi-gpu,32000,8.0,1,0.672642558,0.668538972,2245.906
vesin-gpu,32000,8.0,1,0.295171963,0.294312663,2245.906
