backend,n_atoms,cutoff,threads,build_s_median,build_s_min,peak_mb,system,first_call_s,tracemalloc_mb,n_repeats,status
ase,4000,5.0,1,0.3959354870021343,0.36917939712293446,2245.90625,cubic,0.4600675371475518,197.94396305084229,5,ok
matscipy,4000,5.0,1,0.04582503694109619,0.043972695944830775,2245.90625,cubic,0.046088464092463255,12.711431503295898,5,ok
matscipy-neighbours,4000,5.0,1,0.026961297960951924,0.025487279053777456,2245.90625,cubic,0.026951686944812536,10.727880477905273,5,ok
vesin,4000,5.0,1,0.04156084591522813,0.04017497296445072,2245.90625,cubic,0.047180342953652143,19.05044174194336,5,ok
matscipy-neighbours-gpu,4000,5.0,1,0.00871886103413999,0.007756073027849197,2245.90625,cubic,0.009333121124655008,10.715802192687988,5,ok
matscipy-neighbours-device,4000,5.0,1,0.009046494960784912,0.008107075933367014,2245.90625,cubic,0.09824479604139924,10.71639633178711,5,ok
alchemi-gpu,4000,5.0,1,0.10022639995440841,0.0988737449515611,2245.90625,cubic,3.924207440111786,10.888717651367188,5,ok
vesin-gpu,4000,5.0,1,0.01268812594935298,0.010956390993669629,2245.90625,cubic,0.014182412065565586,15.660881042480469,5,ok
ase,32000,5.0,1,4.211419059894979,4.195594442076981,2245.90625,cubic,4.274005951825529,1583.380612373352,5,ok
matscipy,32000,5.0,1,0.37108026491478086,0.37004069006070495,2245.90625,cubic,0.35737546696327627,101.6854305267334,5,ok
matscipy-neighbours,32000,5.0,1,0.22189698508009315,0.22053166688419878,2245.90625,cubic,0.22229667799547315,85.81638145446777,5,ok
vesin,32000,5.0,1,0.39572054892778397,0.3938925520051271,2245.90625,cubic,0.3954504239372909,152.35117721557617,5,ok
matscipy-neighbours-gpu,32000,5.0,1,0.055201730923727155,0.054292807122692466,2245.90625,cubic,0.059327296912670135,85.69749164581299,5,ok
matscipy-neighbours-device,32000,5.0,1,0.05470609711483121,0.054172004107385874,2245.90625,cubic,0.1471211111638695,85.69790267944336,5,ok
alchemi-gpu,32000,5.0,1,0.20655062701553106,0.20455767214298248,2245.90625,cubic,4.273560325149447,85.86911392211914,5,ok
vesin-gpu,32000,5.0,1,0.08125238306820393,0.0805777118075639,2245.90625,cubic,0.23595753801055253,125.24927520751953,5,ok
ase,108000,5.0,1,14.910279839998111,14.883444080129266,5545.46875,cubic,15.285966688999906,5343.851517677307,5,ok
matscipy,108000,5.0,1,1.199920958140865,1.184862423921004,2245.90625,cubic,1.173071273835376,343.1862850189209,5,ok
matscipy-neighbours,108000,5.0,1,0.7317804819904268,0.7275275900028646,2245.90625,cubic,0.7430232579354197,289.6280269622803,5,ok
vesin,108000,5.0,1,1.3520634828601032,1.3462595981545746,2245.90625,cubic,1.340860719094053,514.1676292419434,5,ok
